data;geracao
2020-06-26;26.759859
2020-06-27;26.241581
2020-06-28;24.177759
2020-06-29;26.382162
2020-06-30;25.750081
2020-07-01;26.29546
2020-07-02;26.626541
2020-07-03;26.347562
2020-07-04;25.377572
2020-07-05;23.365304
2020-07-06;25.85443
2020-07-07;26.530963
2020-07-08;20.84938
2020-07-09;20.946413
2020-07-10;20.916151
2020-07-11;21.132521
2020-07-12;21.254198
2020-07-13;21.119433
2020-07-14;20.828454
2020-07-15;20.146451
2020-07-16;20.577975
2020-07-17;23.021564
2020-07-18;23.009681
2020-07-19;21.554329
2020-07-20;22.484991
2020-07-21;20.560874
2020-07-22;18.929914
2020-07-23;18.662403
2020-07-24;18.287857
2020-07-25;18.334294
2020-07-26;18.676957
2020-07-27;18.628871
2020-07-28;19.830649
2020-07-29;22.257706
2020-07-30;24.72651
2020-07-31;24.922485
2020-08-01;25.094096
2020-08-02;23.487464
2020-08-03;25.316061
2020-08-04;26.680217
2020-08-05;25.703266
2020-08-06;24.729712
2020-08-07;26.153626
2020-08-08;24.870876
2020-08-09;25.047432
2020-08-10;24.757254
2020-08-11;24.247011
2020-08-12;24.744977
2020-08-13;26.279841
2020-08-14;26.087453
2020-08-15;24.747308
2020-08-16;18.160459
2020-08-17;24.545081
2020-08-18;24.65297
2020-08-19;22.613527
2020-08-20;25.575792
2020-08-21;26.734322
2020-08-22;18.620621
2020-08-23;17.24001
2020-08-24;18.106415
2020-08-25;19.125555
2020-08-26;18.697248
2020-08-27;18.930383
2020-08-28;18.50079
2020-08-29;18.240988
2020-08-30;18.21901
2020-08-31;21.208732
2020-09-01;17.879903
2020-09-02;18.910703
2020-09-03;23.019566
2020-09-04;26.207867
2020-09-05;26.114446
2020-09-06;21.609948
2020-09-07;24.464738
2020-09-08;21.585347
2020-09-09;17.092995
2020-09-10;21.634735
2020-09-11;22.261458
2020-09-12;22.256476
2020-09-13;26.102466
2020-09-14;28.030221
2020-09-15;23.231043
2020-09-16;25.187577
2020-09-17;27.364784
2020-09-18;28.460562
2020-09-19;28.461178
2020-09-20;27.762408
2020-09-21;28.792264
2020-09-22;28.405221
2020-09-23;27.528072
2020-09-24;28.525649
2020-09-25;27.547558
2020-09-26;24.623085
2020-09-27;23.562691
2020-09-28;27.843952
2020-09-29;27.476058
2020-09-30;28.255115
2020-10-01;28.870847
2020-10-02;28.537516
2020-10-03;28.264843
2020-10-04;25.78047
2020-10-05;28.41172
2020-10-06;26.695451
2020-10-07;27.410969
2020-10-08;28.283624
2020-10-09;28.000057
2020-10-10;25.795201
2020-10-11;22.255047
2020-10-12;22.642518
2020-10-13;25.893655
2020-10-14;22.825701
2020-10-15;21.853651
2020-10-16;24.682229
2020-10-17;27.874639
2020-10-18;26.410138
2020-10-19;27.527887
2020-10-20;27.991957
2020-10-21;28.200621
2020-10-22;27.561982
2020-10-23;27.254423
2020-10-24;24.177488
2020-10-25;24.890789
2020-10-26;27.263877
2020-10-27;27.305311
2020-10-28;27.419654
2020-10-29;28.040638
2020-10-30;27.587406
2020-10-31;27.056573
2020-11-01;23.061455
2020-11-02;26.233902
2020-11-03;27.84866
2020-11-04;27.574124
2020-11-05;27.674383
2020-11-06;27.283731
2020-11-07;27.653409
2020-11-08;25.251917
2020-11-09;27.854475
2020-11-10;27.633149
2020-11-11;27.968096
2020-11-12;27.666637
2020-11-13;27.726379
2020-11-14;27.559407
2020-11-15;25.272629
2020-11-16;27.634239
2020-11-17;27.815625
2020-11-18;27.502136
2020-11-19;27.560724
2020-11-20;26.9039
2020-11-21;23.238354
2020-11-22;24.152471
2020-11-23;27.71457
2020-11-24;26.411789
2020-11-25;26.514203
2020-11-26;27.179057
2020-11-27;27.279414
2020-11-28;26.684498
2020-11-29;23.936733
2020-11-30;24.452159
2020-12-01;25.424729
2020-12-02;27.634538
2020-12-03;27.585189
