;ds;y
940;2020-07-29;22.257706
941;2020-07-30;24.72651
942;2020-07-31;24.922485
943;2020-08-01;25.094096
944;2020-08-02;23.487464
945;2020-08-03;25.316061
946;2020-08-04;26.680217
947;2020-08-05;25.703266
948;2020-08-06;24.729712
949;2020-08-07;26.153626
950;2020-08-08;24.870876
951;2020-08-09;25.047432
952;2020-08-10;24.757254
953;2020-08-11;24.247011
954;2020-08-12;24.744977
955;2020-08-13;26.279841
956;2020-08-14;26.087453
957;2020-08-15;24.747308
958;2020-08-16;18.160459
959;2020-08-17;24.545081
960;2020-08-18;24.65297
961;2020-08-19;22.613527
962;2020-08-20;25.575792
963;2020-08-21;26.734322
964;2020-08-22;18.620621
965;2020-08-23;17.24001
966;2020-08-24;18.106415
967;2020-08-25;19.125555
968;2020-08-26;18.697248
969;2020-08-27;18.930383
970;2020-08-28;18.50079
971;2020-08-29;18.240988
972;2020-08-30;18.21901
973;2020-08-31;21.208732
974;2020-09-01;17.879903
975;2020-09-02;18.910703
976;2020-09-03;23.019566
977;2020-09-04;26.207867
978;2020-09-05;26.114446
979;2020-09-06;21.609948
980;2020-09-07;24.464738
981;2020-09-08;21.585347
982;2020-09-09;17.092995
983;2020-09-10;21.634735
984;2020-09-11;22.261458
985;2020-09-12;22.256476
986;2020-09-13;26.102466
987;2020-09-14;28.030221
988;2020-09-15;23.231043
989;2020-09-16;25.187577
990;2020-09-17;27.364784
991;2020-09-18;28.460562
992;2020-09-19;28.461178
993;2020-09-20;27.762408
994;2020-09-21;28.792264
995;2020-09-22;28.405221
996;2020-09-23;27.528072
